Year,Area_Type,Unemployment
2008,County,1335750
2008,Metropolitan Area,1269480
2008,State,1323600
2009,County,2050830
2009,Metropolitan Area,1952090
2009,State,2032600
2010,County,2264550
2010,Metropolitan Area,2153080
2010,State,2244300
2011,County,2176900
2011,Metropolitan Area,2068580
2011,State,2157000
2012,County,1939470
2012,Metropolitan Area,1841820
2012,State,1921100
2013,County,1682100
2013,Metropolitan Area,1599130
2013,State,1666600
2014,County,1417180
2014,Metropolitan Area,1347540
2014,State,1403800
2015,County,1181150
2015,Metropolitan Area,1122080
2015,State,1169200
2016,County,1052710
2016,Metropolitan Area,997860
2016,State,1041700
2017,County,929190
2017,Metropolitan Area,881960
2017,State,919800
2018,County,824060
2018,Metropolitan Area,782940
2018,State,815400
